id;androidversion;androidlanguage;deviceinfo;appversion;day;month;year;hour;minute;playername;playerpoints;playercombos;computeralgorithm;computerpoints;computercombos;playerstarted
30439;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;19;53;6ec6d87d;370;Acata;RandomPlayer;130;;0
30440;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;19;55;6ec6d87d;220;Fam-Fuji;RandomPlayer;340;Aotan,Fam-Momiji,Fam-Kiri;0
30441;23 (6.0.1);eng;SM-N910V (trltevzw);2.15.0;29;8;2020;19;58;6ec6d87d;210;;RandomPlayer;310;Hanami I-Pai;0
30442;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;11;32;HCLBB19A29202826;230;Fam-Fuji,Fam-Kiri;ShikoGreedyPlayer;610;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Susuki;1
30443;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;11;33;HCLBB19A29202826;200;Fam-Kiri;ShikoGreedyPlayer;260;Hanami I-Pai,Fam-Momiji;0
30444;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;11;34;HCLBB19A29202826;390;Nizoro,Fam-Matsu;ShikoGreedyPlayer;600;Acata,Tepo,Hanami I-Pai,Tsukimi I-Pai;0
30445;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;11;35;HCLBB19A29202826;200;;ShikoGreedyPlayer;420;Nizoro,Fam-Kiri;1
30446;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;11;37;HCLBB19A29202826;230;Fam-Sakura;ShikoGreedyPlayer;200;;0
30447;25 (7.1.1);por;SM-P355M (gt5note8lteub);2.15.0;30;8;2020;8;39;a4efa3c5;730;Oozan,Cosan,Fam-Matsu,Fam-Uma;RandomPlayer;60;;1
30448;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;37;HCLBB19A29202826;370;Hanami I-Pai,Fam-Kiri;ShikoGreedyPlayer;380;Acata,Fam-Matsu,Fam-Fuji;1
30449;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;38;HCLBB19A29202826;130;;ShikoGreedyPlayer;150;;0
30450;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;40;HCLBB19A29202826;330;Tsukimi I-Pai,Fam-Fuji;ShikoGreedyPlayer;50;;1
30451;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;41;HCLBB19A29202826;460;Acata,Fam-Uma,Fam-Susuki;ShikoGreedyPlayer;60;;0
30452;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;42;HCLBB19A29202826;140;;ShikoGreedyPlayer;390;Matsu-Kiri-Bozu;1
30453;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;44;HCLBB19A29202826;170;;ShikoGreedyPlayer;190;;1
30454;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;45;HCLBB19A29202826;120;;ShikoGreedyPlayer;540;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Sakura;1
30455;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;46;HCLBB19A29202826;90;;ShikoGreedyPlayer;630;Tepo,Hanami I-Pai,Tsukimi I-Pai,Fam-Fuji;0
30456;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;48;HCLBB19A29202826;160;;ShikoGreedyPlayer;320;Hanami I-Pai,Fam-Fuji;1
30457;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;49;HCLBB19A29202826;150;Fam-Kiri;ShikoGreedyPlayer;480;Aotan,Hanami I-Pai,Fam-Momiji;1
30458;26 (8.0.0);ita;AGS2-L09 (AGS2-L09EEA);2.15.0;30;8;2020;15;50;HCLBB19A29202826;280;Aotan;ShikoGreedyPlayer;260;Fam-Kiri;0
